"provincia","canton","parroquia","poblacion","densidad_poblacional","id_poblacion"
"Guayas","General Antonio Elizalde","General Antonio Elizalde",11810,83,"Row442"
"Guayas","Isidro Ayora","Isidro Ayora",14305,29,"Row443"
"Imbabura","Ibarra","San Miguel De Ibarra",168068,691,"Row444"
"Imbabura","Ibarra","Ambuqui",6143,49,"Row445"
"Imbabura","Ibarra","Angochagua",3561,30,"Row446"
"Imbabura","Ibarra","Carolina",3258,12,"Row447"
"Imbabura","Ibarra","La Esperanza",8681,248,"Row448"
"Imbabura","Ibarra","Lita",3964,17,"Row449"
"Imbabura","Ibarra","Salinas",2374,31,"Row450"
"Imbabura","Ibarra","San Antonio",21420,738,"Row451"
"Imbabura","Antonio Ante","Atuntaqui",28099,1253,"Row452"
"Imbabura","Antonio Ante","Imbaya",1610,139,"Row453"
"Imbabura","Antonio Ante","San Francisco De Natabuela",7974,752,"Row454"
"Imbabura","Antonio Ante","San Jose De Chaltura",3862,227,"Row455"
"Imbabura","Antonio Ante","San Roque",12226,668,"Row456"
"Imbabura","Cotacachi","Cotacachi",21414,325,"Row457"
"Imbabura","Cotacachi","Apuela",1936,10,"Row458"
"Imbabura","Cotacachi","Garcia Moreno",11566,13,"Row459"
"Imbabura","Cotacachi","Imantag",5476,24,"Row460"
"Imbabura","Cotacachi","Penaherrera",1780,15,"Row461"
"Imbabura","Cotacachi","Plaza Gutierrez",328,4,"Row462"
"Imbabura","Cotacachi","Quiroga",8245,181,"Row463"
"Imbabura","Cotacachi","Seis De Julio De Cuellaje",1664,9,"Row464"
"Imbabura","Cotacachi","Vacas Galindo",592,11,"Row465"
"Imbabura","Otavalo","Otavalo",55534,700,"Row466"
"Imbabura","Otavalo","Dr. Miguel Egas Cabezas",6914,682,"Row467"
"Imbabura","Otavalo","Eugenio Espejo",8812,315,"Row468"
"Imbabura","Otavalo","Gonzalez Suarez",7434,148,"Row469"
"Imbabura","Otavalo","Pataqui",221,22,"Row470"
"Imbabura","Otavalo","San Jose De Quichinche",8458,51,"Row471"
"Imbabura","Otavalo","San Juan De Iluman",9299,454,"Row472"
"Imbabura","Otavalo","San Pablo",11146,175,"Row473"
"Imbabura","Otavalo","San Rafael",5184,290,"Row474"
"Imbabura","Otavalo","Selva Alegre",1301,15,"Row475"
"Imbabura","Pimampiro","Pimampiro",10076,109,"Row476"
"Imbabura","Pimampiro","Chuga",1020,21,"Row477"
"Imbabura","Pimampiro","Mariano Acosta",1294,10,"Row478"
"Imbabura","Pimampiro","San Francisco De Sigsipamba",976,6,"Row479"
"Imbabura","San Miguel De Urcuqui","Urcuqui",6551,109,"Row480"
"Imbabura","San Miguel De Urcuqui","Cahuasqui",1871,15,"Row481"
"Imbabura","San Miguel De Urcuqui","La Merced De Buenos Aires",2004,5,"Row482"
"Imbabura","San Miguel De Urcuqui","Pablo Arenas",2339,43,"Row483"
"Imbabura","San Miguel De Urcuqui","San Blas",3524,48,"Row484"
"Imbabura","San Miguel De Urcuqui","Tumbabiro",1680,45,"Row485"
"Loja","Loja","Loja",214296,752,"Row486"
"Loja","Loja","Chantaco",1025,43,"Row487"
"Loja","Loja","Chuquiribamba",2114,29,"Row488"
"Loja","Loja","El Cisne",1639,15,"Row489"
"Loja","Loja","Gualel",2082,21,"Row490"
"Loja","Loja","Jimbilla",1010,10,"Row491"
"Loja","Loja","Malacatos",8669,42,"Row492"
"Loja","Loja","San Lucas",4686,30,"Row493"
"Loja","Loja","San Pedro De Vilcabamba",1305,19,"Row494"
"Loja","Loja","Santiago",1051,10,"Row495"
"Loja","Loja","Taquil",3720,40,"Row496"
"Loja","Loja","Vilcabamba",5516,35,"Row497"
"Loja","Loja","Yangana",1413,5,"Row498"
"Loja","Loja","Quinara",1502,10,"Row499"
"Loja","Calvas","Cariamanga",19551,56,"Row500"
"Loja","Calvas","Colaisaca",1430,7,"Row501"
"Loja","Calvas","El Lucero",2658,28,"Row502"
"Loja","Calvas","Utuana",1016,9,"Row503"
"Loja","Calvas","Sanguillin",1387,14,"Row504"
"Loja","Catamayo","Catamayo",28127,191,"Row505"
"Loja","Catamayo","El Tambo",4439,22,"Row506"
"Loja","Catamayo","Guayquichuma",293,3,"Row507"
"Loja","Catamayo","San Pedro De La Bendita",1924,13,"Row508"
"Loja","Catamayo","Zambi",457,9,"Row509"
"Loja","Celica","Celica",6685,28,"Row510"
"Loja","Celica","Cruzpamba",1165,43,"Row511"
"Loja","Celica","Pozul",3273,40,"Row512"
"Loja","Celica","Sabanilla",2552,18,"Row513"
"Loja","Celica","Teniente Maximiliano Rodriguez Loaiza",704,20,"Row514"
"Loja","Chaguarpamba","Chaguarpamba",3466,34,"Row515"
"Loja","Chaguarpamba","Buenavista",1193,27,"Row516"
"Loja","Chaguarpamba","El Rosario",382,4,"Row517"
"Loja","Chaguarpamba","Santa Rufina",1211,22,"Row518"
"Loja","Chaguarpamba","Amarillos",605,28,"Row519"
"Loja","Espindola","Amaluza",4142,34,"Row520"
"Loja","Espindola","Bellavista",2163,28,"Row521"
"Loja","Espindola","Jimbura",2050,21,"Row522"
"Loja","Espindola","Santa Teresita",1450,19,"Row523"
"Loja","Espindola","27 De Abril",1865,45,"Row524"
"Loja","Espindola","El Ingenio",1647,23,"Row525"
"Loja","Espindola","El Airo",802,29,"Row526"
"Loja","Gonzanama","Gonzanama",2883,40,"Row527"
"Loja","Gonzanama","Changaimina",2402,23,"Row528"
"Loja","Gonzanama","Nambacola",4257,14,"Row529"
"Loja","Gonzanama","Purunuma",986,10,"Row530"
"Loja","Gonzanama","Sacapalca",1719,15,"Row531"
"Loja","Macara","Macara",15235,41,"Row532"
"Loja","Macara","Larama",985,11,"Row533"
"Loja","Macara","La Victoria",1361,20,"Row534"
"Loja","Macara","Sabiango",634,14,"Row535"
"Loja","Paltas","Catacocha",12129,27,"Row536"
"Loja","Paltas","Cangonama",991,21,"Row537"
"Loja","Paltas","Guachanama",2406,9,"Row538"
"Loja","Paltas","Lauro Guerrero",1680,17,"Row539"
"Loja","Paltas","Orianga",1586,9,"Row540"
"Loja","Paltas","San Antonio",1077,31,"Row541"
"Loja","Paltas","Casanga",1735,33,"Row542"
"Loja","Paltas","Yamana",1237,56,"Row543"
"Loja","Puyango","Alamor",8987,37,"Row544"
"Loja","Puyango","Ciano",1335,17,"Row545"
"Loja","Puyango","El Arenal",1157,42,"Row546"
"Loja","Puyango","El Limo",2423,12,"Row547"
"Loja","Puyango","Mercadillo",1308,47,"Row548"
"Loja","Puyango","Vicentino",1047,19,"Row549"
"Loja","Saraguro","Saraguro",9679,128,"Row550"
"Loja","Saraguro","El Paraiso De Celen",2244,41,"Row551"
"Loja","Saraguro","El Tablon",972,10,"Row552"
"Loja","Saraguro","Lluzhapa",1558,21,"Row553"
"Loja","Saraguro","Manu",2142,12,"Row554"
"Loja","Saraguro","San Antonio De Qumbe",1110,14,"Row555"
"Loja","Saraguro","San Pablo De Tenta",3290,21,"Row556"
"Loja","Saraguro","San Sebastian De Yuluc",958,8,"Row557"
"Loja","Saraguro","Selva Alegre",1553,34,"Row558"
"Loja","Saraguro","Urdaneta",4091,34,"Row559"
"Loja","Saraguro","Sumaypamba",1514,17,"Row560"
"Loja","Sozoranga","Sozoranga",3671,12,"Row561"
"Loja","Sozoranga","Nueva Fatima",816,16,"Row562"
"Loja","Sozoranga","Tacamoros",2483,32,"Row563"
"Loja","Zapotillo","Zapotillo",5851,30,"Row564"
"Loja","Zapotillo","Mangahurco",868,5,"Row565"
"Loja","Zapotillo","Garzareal",1913,10,"Row566"
"Loja","Zapotillo","Limones",1685,7,"Row567"
"Loja","Zapotillo","Paletillas",2574,15,"Row568"
"Loja","Zapotillo","Bolaspamba",1207,9,"Row569"
"Loja","Zapotillo","Cazaderos",473,4,"Row570"
"Loja","Pindal","Pindal",4393,89,"Row571"
"Loja","Pindal","Chaquinal",995,58,"Row572"
"Loja","Pindal","12 De Diciembre",2060,48,"Row573"
"Loja","Pindal","Milagros",2961,32,"Row574"
"Loja","Quilanga","Quilanga",2559,28,"Row575"
"Loja","Quilanga","Fundochamba",293,8,"Row576"
"Loja","Quilanga","San Antonio De Las Aradas",1119,10,"Row577"
"Loja","Olmedo","Olmedo",3702,60,"Row578"
"Loja","Olmedo","La Tingue",462,9,"Row579"
"Los Rios","Babahoyo","Babahoyo",112033,662,"Row580"
"Los Rios","Babahoyo","Caracol",5226,57,"Row581"
"Los Rios","Babahoyo","Febres Cordero",19012,55,"Row582"
"Los Rios","Babahoyo","Pimocha",28145,101,"Row583"
"Los Rios","Babahoyo","La Union",14093,75,"Row584"
"Los Rios","Baba","Baba",21574,126,"Row585"
"Los Rios","Baba","Guare",13581,58,"Row586"
"Los Rios","Baba","Isla De Bejucal",10141,91,"Row587"
"Los Rios","Montalvo","Montalvo",25875,87,"Row588"
"Los Rios","Montalvo","La Esmeralda",2479,44,"Row589"
"Los Rios","Puebloviejo","Puebloviejo",14972,100,"Row590"
"Los Rios","Puebloviejo","Puerto Pechiche",5221,64,"Row591"
"Los Rios","Puebloviejo","San Juan",20768,203,"Row592"
"Los Rios","Quevedo","Quevedo",187103,732,"Row593"
"Los Rios","Quevedo","San Carlos",12037,144,"Row594"
"Los Rios","Quevedo","La Esperanza",6868,174,"Row595"
"Los Rios","Urdaneta","Catarama",9680,193,"Row596"
"Los Rios","Urdaneta","Ricaurte",23471,70,"Row597"
"Los Rios","Ventanas","Ventanas",49009,320,"Row598"
"Los Rios","Ventanas","Zapotal",18368,75,"Row599"
"Los Rios","Ventanas","Chacarita",3101,51,"Row600"
"Los Rios","Ventanas","Los Angeles",2733,52,"Row601"
"Los Rios","Vinces","Vinces",63527,111,"Row602"
"Los Rios","Vinces","Antonio Sotomayor",17382,126,"Row603"
"Los Rios","Palenque","Palenque",24838,44,"Row604"
"Los Rios","Buena Fe","San Jacinto De Buena Fe",59559,144,"Row605"
"Los Rios","Buena Fe","Patricia Pilar",14851,89,"Row606"
"Los Rios","Valencia","Valencia",51509,53,"Row607"
"Los Rios","Mocache","Mocache",42026,74,"Row608"
"Los Rios","Quinsaloma","Quinsaloma",19470,67,"Row609"
"Manabi","Portoviejo","Portoviejo",252248,608,"Row610"
"Manabi","Portoviejo","Abdon Calderon",16848,139,"Row611"
"Manabi","Portoviejo","Alhajuela",4714,152,"Row612"
"Manabi","Portoviejo","Crucita",16997,274,"Row613"
"Manabi","Portoviejo","Pueblo Nuevo",4181,113,"Row614"
"Manabi","Portoviejo","Riochico",17040,187,"Row615"
"Manabi","Portoviejo","San Placido",8180,59,"Row616"
"Manabi","Portoviejo","Chirijos",2717,45,"Row617"
"Manabi","Bolivar","Calceta",34702,114,"Row618"
"Manabi","Bolivar","Membrillo",3573,29,"Row619"
"Manabi","Bolivar","Quiroga",3552,36,"Row620"
"Manabi","Chone","Chone",76247,95,"Row621"
"Manabi","Chone","Boyaca",4447,19,"Row622"
"Manabi","Chone","Canuto",11134,54,"Row623"
"Manabi","Chone","Convento",6369,21,"Row624"
"Manabi","Chone","Chibunga",6083,11,"Row625"
"Manabi","Chone","Eloy Alfaro",6566,20,"Row626"
"Manabi","Chone","Ricaurte",7838,20,"Row627"
"Manabi","Chone","San Antonio",9482,45,"Row628"
"Manabi","El Carmen","El Carmen",84141,111,"Row629"
"Manabi","El Carmen","Wilfrido Loor Moreira",3911,13,"Row630"
"Manabi","El Carmen","San Pedro De Suma",7252,38,"Row631"
"Manabi","El Carmen","Santa Maria",13668,40,"Row632"
"Manabi","El Carmen","El Paraiso La 14",11964,71,"Row633"
"Manabi","Flavio Alfaro","Flavio Alfaro",20177,20,"Row634"
"Manabi","Flavio Alfaro","San Francisco De Novillo",2707,10,"Row635"
"Manabi","Flavio Alfaro","Zapallo",3531,35,"Row636"
"Manabi","Jipijapa","Jipijapa",54639,142,"Row637"
"Manabi","Jipijapa","America",3418,38,"Row638"
"Manabi","Jipijapa","El Anegado",7020,60,"Row639"
"Manabi","Jipijapa","Julcuy",1816,6,"Row640"
"Manabi","Jipijapa","La Union",1747,37,"Row641"
"Manabi","Jipijapa","Membrillal",955,12,"Row642"
"Manabi","Jipijapa","Pedro Pablo Gomez",4067,15,"Row643"
"Manabi","Jipijapa","Puerto Cayo",4455,24,"Row644"
"Manabi","Junin","Junin",22324,84,"Row645"
"Manabi","Manta","Manta",261871,2903,"Row646"
"Manabi","Manta","San Lorenzo",5444,34,"Row647"
"Manabi","Manta","Santa Marianita",3830,101,"Row648"
"Manabi","Montecristi","Montecristi",96858,162,"Row649"
"Manabi","Montecristi","La Pila",3079,29,"Row650"
"Manabi","Pajan","Pajan",14312,101,"Row651"
"Manabi","Pajan","Campozano",8736,37,"Row652"
"Manabi","Pajan","Cascol",8764,19,"Row653"
"Manabi","Pajan","Guale",4727,42,"Row654"
"Manabi","Pajan","Lascano",5340,38,"Row655"
"Manabi","Pichincha","Pichincha",17293,35,"Row656"
"Manabi","Pichincha","Barraganete",8300,19,"Row657"
"Manabi","Pichincha","San Sebastian",4787,33,"Row658"
"Manabi","Rocafuerte","Rocafuerte",42688,153,"Row659"
"Manabi","Santa Ana","Santa Ana De Vuelta Larga",24506,84,"Row660"
"Manabi","Santa Ana","Ayacucho",7934,76,"Row661"
"Manabi","Santa Ana","Honorato Vasquez",5813,36,"Row662"
"Manabi","Santa Ana","La Union",7200,30,"Row663"
"Manabi","Santa Ana","San Pablo",6009,27,"Row664"
"Manabi","Sucre","Bahia De Caraquez",27284,162,"Row665"
"Manabi","Sucre","Charapoto",23361,94,"Row666"
"Manabi","Sucre","San Isidro",12196,44,"Row667"
"Manabi","Tosagua","Tosagua",31309,126,"Row668"
"Manabi","Tosagua","Bachillero",4438,76,"Row669"
"Manabi","Tosagua","Angel Pedro Giler",7106,95,"Row670"
"Manabi","24 De Mayo","Sucre",15645,77,"Row671"
"Manabi","24 De Mayo","Bellavista",5693,48,"Row672"
"Manabi","24 De Mayo","Noboa",7063,47,"Row673"
"Manabi","24 De Mayo","Arquitecto Sixto Duran Ballen",3072,41,"Row674"
"Manabi","Pedernales","Pedernales",43049,62,"Row675"
"Manabi","Pedernales","Cojimies",18664,21,"Row676"
"Manabi","Pedernales","Diez De Agosto",6140,27,"Row677"
"Manabi","Pedernales","Atahualpa",2555,15,"Row678"
"Manabi","Olmedo","Olmedo",10090,39,"Row679"
"Manabi","Puerto Lopez","Puerto Lopez",13489,66,"Row680"
"Manabi","Puerto Lopez","Machalilla",6303,46,"Row681"
"Manabi","Puerto Lopez","Salango",5838,67,"Row682"
"Manabi","Jama","Jama",16588,29,"Row683"
"Manabi","Jaramijo","Jaramijo",29759,308,"Row684"
"Manabi","San Vicente","San Vicente",16880,50,"Row685"
"Manabi","San Vicente","Canoa",8117,21,"Row686"
"Morona Santiago","Morona","Macas",22621,459,"Row687"
"Morona Santiago","Morona","Alshi",399,1,"Row688"
"Morona Santiago","Morona","General Proano",4929,67,"Row689"
"Morona Santiago","Morona","San Isidro",1221,9,"Row690"
"Morona Santiago","Morona","Sevilla Don Bosco",18647,8,"Row691"
"Morona Santiago","Morona","Sinai",1034,3,"Row692"
"Morona Santiago","Morona","Zuna",223,0,"Row693"
"Morona Santiago","Morona","Cuchaentza",2813,8,"Row694"
"Morona Santiago","Morona","Rio Blanco",3048,14,"Row695"
"Morona Santiago","Gualaquiza","Gualaquiza",12323,34,"Row696"
"Morona Santiago","Gualaquiza","Amazonas",165,1,"Row697"
"Morona Santiago","Gualaquiza","Bermejos",209,2,"Row698"
"Morona Santiago","Gualaquiza","Bomboiza",6557,10,"Row699"
"Morona Santiago","Gualaquiza","Chiguinda",551,3,"Row700"
"Morona Santiago","Gualaquiza","El Rosario",570,4,"Row701"
"Morona Santiago","Gualaquiza","Nueva Tarqui",663,12,"Row702"
"Morona Santiago","Gualaquiza","San Miguel De Cuyes",125,0,"Row703"
"Morona Santiago","Gualaquiza","El Ideal",729,7,"Row704"
"Morona Santiago","Limon Indanza","Gral. Leonidas Plaza Gutierrez",4675,16,"Row705"
"Morona Santiago","Limon Indanza","Indanza",1091,16,"Row706"
"Morona Santiago","Limon Indanza","San Antonio",1468,2,"Row707"
"Morona Santiago","Limon Indanza","San Miguel De Conchay",424,3,"Row708"
"Morona Santiago","Limon Indanza","Santa Susana De Chiviaza",818,3,"Row709"
"Morona Santiago","Limon Indanza","Yunganza",1126,4,"Row710"
"Morona Santiago","Palora","Palora",6717,56,"Row711"
"Morona Santiago","Palora","Arapicos",974,5,"Row712"
"Morona Santiago","Palora","Cumanda",315,0,"Row713"
"Morona Santiago","Palora","Sangay",2515,12,"Row714"
"Morona Santiago","Palora","16 De Agosto",1361,15,"Row715"
"Morona Santiago","Santiago","Santiago De Mendez",3366,12,"Row716"
"Morona Santiago","Santiago","Copal",443,1,"Row717"
"Morona Santiago","Santiago","Chupianza",663,7,"Row718"
"Morona Santiago","Santiago","Patuca",1924,7,"Row719"
"Morona Santiago","Santiago","San Luis De El Acho",596,10,"Row720"
"Morona Santiago","Santiago","Tayuza",1606,17,"Row721"
"Morona Santiago","Santiago","San Francisco De Chinimbimi",1157,9,"Row722"
"Morona Santiago","Sucua","Sucua",16309,23,"Row723"
"Morona Santiago","Sucua","Asuncion",2419,12,"Row724"
"Morona Santiago","Sucua","Huambi",3398,15,"Row725"
"Morona Santiago","Sucua","Santa Marianita De Jesus",1378,24,"Row726"
"Morona Santiago","Huamboya","Huamboya",4083,22,"Row727"
"Morona Santiago","Huamboya","Chiguaza",6747,14,"Row728"
"Morona Santiago","San Juan Bosco","San Juan Bosco",2547,20,"Row729"
"Morona Santiago","San Juan Bosco","Pan De Azucar",218,1,"Row730"
"Morona Santiago","San Juan Bosco","San Carlos De Limon",911,1,"Row731"
"Morona Santiago","San Juan Bosco","San Jacinto De Wakambeis",219,5,"Row732"
"Morona Santiago","San Juan Bosco","Santiago De Pananza",477,5,"Row733"
"Morona Santiago","Taisha","Taisha",7817,6,"Row734"
"Morona Santiago","Taisha","Huasaga",2069,2,"Row735"
"Morona Santiago","Taisha","Macuma",7360,6,"Row736"
"Morona Santiago","Taisha","Tuutinentsa",5229,5,"Row737"
"Morona Santiago","Taisha","Pumpuentsa",4225,3,"Row738"
"Morona Santiago","Logrono","Logrono",2604,47,"Row739"
"Morona Santiago","Logrono","Yaupi",2206,3,"Row740"
"Morona Santiago","Logrono","Shimpis",2674,10,"Row741"
"Morona Santiago","Pablo Sexto","Pablo Sexto",2267,2,"Row742"
"Morona Santiago","Tiwintza","Santiago",5511,8,"Row743"
"Morona Santiago","Tiwintza","San Jose De Morona",3774,7,"Row744"
"Napo","Tena","Tena",39578,486,"Row745"
"Napo","Tena","Ahuano",7476,17,"Row746"
"Napo","Tena","Chontapunta",8721,9,"Row747"
"Napo","Tena","Pano",2179,3,"Row748"
"Napo","Tena","Puerto Misahualli",4868,15,"Row749"
"Napo","Tena","Puerto Napo",7152,32,"Row750"
"Napo","Tena","Talag",3528,4,"Row751"
"Napo","Tena","San Juan De Muyuna",7314,45,"Row752"
"Napo","Archidona","Archidona",15316,16,"Row753"
"Napo","Archidona","Cotundo",6879,4,"Row754"
"Napo","Archidona","San Pablo De Ushpayacu",5657,37,"Row755"
"Napo","Archidona","Hatun Sumaku",2636,7,"Row756"
"Napo","El Chaco","El Chaco",5624,98,"Row757"
"Napo","El Chaco","Gonzalo Diaz De Pineda",519,0,"Row758"
"Napo","El Chaco","Linares",174,1,"Row759"
"Napo","El Chaco","Oyacachi",697,1,"Row760"
"Napo","El Chaco","Santa Rosa",1653,5,"Row761"
"Napo","El Chaco","Sardinas",585,5,"Row762"
"Napo","Quijos","Baeza",2256,14,"Row763"
"Napo","Quijos","Cosanga",471,1,"Row764"
"Napo","Quijos","Cuyuja",504,2,"Row765"
"Napo","Quijos","Papallacta",635,2,"Row766"
"Napo","Quijos","San Francisco De Borja",2474,28,"Row767"
"Napo","Quijos","Sumaco",132,0,"Row768"
"Napo","Carlos Julio Arosemena Tola","Carlos Julio Arosemena Tola",4647,9,"Row769"
"Pastaza","Pastaza","Puyo",39473,430,"Row770"
"Pastaza","Pastaza","Canelos",2696,6,"Row771"
"Pastaza","Pastaza","Diez De Agosto",1402,15,"Row772"
"Pastaza","Pastaza","Fatima",1645,23,"Row773"
"Pastaza","Pastaza","Montalvo",4863,1,"Row774"
"Pastaza","Pastaza","Pomona",284,5,"Row775"
"Pastaza","Pastaza","Rio Corrientes",457,0,"Row776"
"Pastaza","Pastaza","Rio Tigre",1055,0,"Row777"
"Pastaza","Pastaza","Sarayacu",4072,1,"Row778"
"Pastaza","Pastaza","Simon Bolivar",7689,7,"Row779"
"Pastaza","Pastaza","Tarqui",14242,153,"Row780"
"Pastaza","Pastaza","Teniente Hugo Ortiz",1187,11,"Row781"
"Pastaza","Pastaza","Veracruz",2361,14,"Row782"
"Pastaza","Pastaza","El Triunfo",1328,6,"Row783"
"Pastaza","Mera","Mera",1909,5,"Row784"
"Pastaza","Mera","Madre Tierra",3684,27,"Row785"
"Pastaza","Mera","Shell",9494,391,"Row786"
"Pastaza","Santa Clara","Santa Clara",3642,15,"Row787"
"Pastaza","Santa Clara","San Jose",879,13,"Row788"
"Pastaza","Arajuno","Arajuno",5690,9,"Row789"
"Pastaza","Arajuno","Curaray",3863,0,"Row790"
"Pichincha","Distrito Metropolitano De Quito","Quito",1776364,4878,"Row791"
"Pichincha","Distrito Metropolitano De Quito","Alangasi",34655,1180,"Row792"
"Pichincha","Distrito Metropolitano De Quito","Amaguana",43235,767,"Row793"
"Pichincha","Distrito Metropolitano De Quito","Atahualpa",1446,21,"Row794"
"Pichincha","Distrito Metropolitano De Quito","Calacali",4964,26,"Row795"
"Pichincha","Distrito Metropolitano De Quito","Calderon",250877,3211,"Row796"
"Pichincha","Distrito Metropolitano De Quito","Conocoto",127815,2859,"Row797"
"Pichincha","Distrito Metropolitano De Quito","Cumbaya",41819,1996,"Row798"
"Pichincha","Distrito Metropolitano De Quito","Chavezpamba",579,50,"Row799"
"Pichincha","Distrito Metropolitano De Quito","Checa",11492,131,"Row800"
"Pichincha","Distrito Metropolitano De Quito","El Quinche",18485,243,"Row801"
"Pichincha","Distrito Metropolitano De Quito","Gualea",1704,14,"Row802"
"Pichincha","Distrito Metropolitano De Quito","Guangopolo",4336,426,"Row803"
"Pichincha","Distrito Metropolitano De Quito","Guayllabamba",20584,371,"Row804"
"Pichincha","Distrito Metropolitano De Quito","La Merced",11438,362,"Row805"
"Pichincha","Distrito Metropolitano De Quito","Llano Chico",15113,2002,"Row806"
"Pichincha","Distrito Metropolitano De Quito","Lloa",1959,4,"Row807"
"Pichincha","Distrito Metropolitano De Quito","Nanegal",2959,12,"Row808"
"Pichincha","Distrito Metropolitano De Quito","Nanegalito",2776,22,"Row809"
"Pichincha","Distrito Metropolitano De Quito","Nayon",22065,1247,"Row810"
"Pichincha","Distrito Metropolitano De Quito","Nono",2938,14,"Row811"
"Pichincha","Distrito Metropolitano De Quito","Pacto",3898,11,"Row812"
"Pichincha","Distrito Metropolitano De Quito","Perucho",704,72,"Row813"
"Pichincha","Distrito Metropolitano De Quito","Pifo",23202,91,"Row814"
"Pichincha","Distrito Metropolitano De Quito","Pintag",23240,48,"Row815"
"Pichincha","Distrito Metropolitano De Quito","Pomasqui",36883,1556,"Row816"
"Pichincha","Distrito Metropolitano De Quito","Puellaro",5155,71,"Row817"
"Pichincha","Distrito Metropolitano De Quito","Puembo",17780,560,"Row818"
"Pichincha","Distrito Metropolitano De Quito","San Antonio",49984,448,"Row819"
"Pichincha","Distrito Metropolitano De Quito","San Jose De Minas",5589,19,"Row820"
"Pichincha","Distrito Metropolitano De Quito","Tababela",3851,152,"Row821"
"Pichincha","Distrito Metropolitano De Quito","Tumbaco",79109,1207,"Row822"
"Pichincha","Distrito Metropolitano De Quito","Yaruqui",26564,364,"Row823"
"Pichincha","Distrito Metropolitano De Quito","Zambiza",6160,814,"Row824"
"Pichincha","Cayambe","Cayambe",49308,193,"Row825"
"Pichincha","Cayambe","Ascazubi",7851,227,"Row826"
"Pichincha","Cayambe","Cangahua",18037,54,"Row827"
"Pichincha","Cayambe","Olmedo",6515,16,"Row828"
"Pichincha","Cayambe","Oton",3167,130,"Row829"
"Pichincha","Cayambe","Santa Rosa De Cuzubamba",5996,275,"Row830"
"Pichincha","Cayambe","San Jose De Ayora",14393,110,"Row831"
"Pichincha","Mejia","Machachi",32814,84,"Row832"
"Pichincha","Mejia","Aloag",10319,49,"Row833"
"Pichincha","Mejia","Aloasi",12530,191,"Row834"
"Pichincha","Mejia","Cutuglahua",25422,783,"Row835"
"Pichincha","Mejia","El Chaupi",1425,10,"Row836"
"Pichincha","Mejia","Manuel Cornejo Astorga",3341,7,"Row837"
"Pichincha","Mejia","Tambillo",9851,197,"Row838"
"Pichincha","Mejia","Uyumbicho",6192,294,"Row839"
"Pichincha","Pedro Moncayo","Tabacundo",21157,297,"Row840"
"Pichincha","Pedro Moncayo","La Esperanza",4701,124,"Row841"
"Pichincha","Pedro Moncayo","Malchingui",6307,73,"Row842"
"Pichincha","Pedro Moncayo","Tocachi",2028,21,"Row843"
"Pichincha","Pedro Moncayo","Tupigachi",6290,145,"Row844"
"Pichincha","Ruminahui","Sangolqui",102863,1795,"Row845"
"Pichincha","Ruminahui","Cotogchoa",4384,122,"Row846"
"Pichincha","Ruminahui","Rumipamba",657,16,"Row847"
"Pichincha","San Miguel De Los Bancos","San Miguel De Los Bancos",10708,18,"Row848"
"Pichincha","San Miguel De Los Bancos","Mindo",2953,11,"Row849"
"Pichincha","Pedro Vicente Maldonado","Pedro Vicente Maldonado",15475,25,"Row850"
"Pichincha","Puerto Quito","Puerto Quito",25067,36,"Row851"
"Tungurahua","Ambato","Ambato",188338,4006,"Row852"
"Tungurahua","Ambato","Ambatillo",5281,413,"Row853"
"Tungurahua","Ambato","Atahualpa",14231,1503,"Row854"
"Tungurahua","Ambato","Augusto N. Martinez",8474,276,"Row855"
"Tungurahua","Ambato","Constantino Fernandez",3931,200,"Row856"
"Tungurahua","Ambato","Huachi Grande",15782,1115,"Row857"
"Tungurahua","Ambato","Izamba",22218,754,"Row858"
"Tungurahua","Ambato","Juan Benigno Vela",7523,207,"Row859"
"Tungurahua","Ambato","Montalvo",6193,593,"Row860"
"Tungurahua","Ambato","Pasa",4238,88,"Row861"
"Tungurahua","Ambato","Picaihua",10382,650,"Row862"
"Tungurahua","Ambato","Pilaguin",11450,27,"Row863"
"Tungurahua","Ambato","Quisapincha",10777,88,"Row864"
"Tungurahua","Ambato","San Bartolome De Pinllo",10240,925,"Row865"
"Tungurahua","Ambato","San Fernando",2035,19,"Row866"
"Tungurahua","Ambato","Santa Rosa",28210,710,"Row867"
"Tungurahua","Ambato","Totoras",9674,1263,"Row868"
"Tungurahua","Ambato","Cunchibamba",5546,276,"Row869"
"Tungurahua","Ambato","Unamuncho",6141,398,"Row870"
"Tungurahua","Banos De Agua Santa","Banos",16121,190,"Row871"
"Tungurahua","Banos De Agua Santa","Lligua",343,39,"Row872"
"Tungurahua","Banos De Agua Santa","Rio Negro",1274,2,"Row873"
"Tungurahua","Banos De Agua Santa","Rio Verde",1337,5,"Row874"
"Tungurahua","Banos De Agua Santa","Ulba",2833,30,"Row875"
"Tungurahua","Cevallos","Cevallos",10433,556,"Row876"
"Tungurahua","Mocha","Mocha",5820,73,"Row877"
"Tungurahua","Mocha","Pinguili",1440,244,"Row878"
"Tungurahua","Patate","Patate",8743,110,"Row879"
"Tungurahua","Patate","El Triunfo",1360,10,"Row880"
"Tungurahua","Patate","Los Andes",1385,85,"Row881"
"Tungurahua","Patate","Sucre",2391,42,"Row882"
"Tungurahua","Quero","Quero",14431,153,"Row883"
"Tungurahua","Quero","Rumipamba",3007,85,"Row884"
