provincia,total_fallecidos_sppat
GUAYAS,712
PICHINCHA,475
LOS RIOS,283
MANABI,262
CHIMBORAZO,153
COTOPAXI,145
EL ORO,133
TUNGURAHUA,129
AZUAY,117
SANTO DOMINGO DE LOS TSACHILAS,112
IMBABURA,88
ESMERALDAS,81
LOJA,69
SANTA ELENA,67
CANAR,52
ORELLANA,48
BOLIVAR,47
SUCUMBIOS,45
MORONA SANTIAGO,40
CARCHI,36
NAPO,34
PASTAZA,22
ZAMORA CHINCHIPE,19
GALAPAGOS,1
