estacion,nombreestacion,longitud2,latitud2,altitud,anio,mes,temperatura,mes_num
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,may,16.0,5
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,may,12.6,5
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,may,14.4,5
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,may,26.5,5
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,may,26.1,5
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,may,25.7,5
M0008,PUYO,-77956.0,-1.5057,956,2019,may,21.7,5
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,may,15.6,5
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,may,25.2,5
M0031,CAAR,-78.9452,-2.5522,3083,2019,may,,5
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,may,16.8,5
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,may,27.0,5
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,may,15.1,5
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,may,12.8,5
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,may,,5
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,may,,5
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,may,15.3,5
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,jun,11.1,6
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,jun,16.7,6
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,jun,13.0,6
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,jun,13.7,6
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,jun,25.8,6
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,jun,25.2,6
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,jun,,6
M0008,PUYO,-77956.0,-1.5057,956,2019,jun,20.9,6
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,jun,16.5,6
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,jun,24.6,6
M0031,CAAR,-78.9452,-2.5522,3083,2019,jun,,6
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,jun,16.0,6
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,jun,26.0,6
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,jun,16.0,6
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,jun,12.4,6
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,jun,,6
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,jun,,6
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,jun,16.2,6
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,jul,11.0,7
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,jul,16.3,7
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,jul,12.2,7
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,jul,13.2,7
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,jul,24.9,7
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,jul,24.1,7
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,jul,,7
M0008,PUYO,-77956.0,-1.5057,956,2019,jul,20.5,7
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,jul,,7
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,jul,23.8,7
M0031,CAAR,-78.9452,-2.5522,3083,2019,jul,,7
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,jul,15.3,7
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,jul,24.9,7
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,jul,15.5,7
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,jul,11.5,7
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,jul,,7
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,jul,,7
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,jul,15.7,7
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,ago,11.1,8
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,ago,17.0,8
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,ago,12.6,8
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,ago,12.7,8
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,ago,,8
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,ago,23.5,8
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,ago,,8
M0008,PUYO,-77956.0,-1.5057,956,2019,ago,20.9,8
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,ago,,8
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,ago,23.9,8
M0031,CAAR,-78.9452,-2.5522,3083,2019,ago,,8
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,ago,15.5,8
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,ago,24.2,8
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,ago,16.4,8
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,ago,11.2,8
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,ago,,8
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,ago,,8
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,ago,16.5,8
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,sep,11.9,9
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,sep,16.3,9
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,sep,13.0,9
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,sep,13.9,9
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,sep,,9
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,sep,24.3,9
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,sep,,9
M0008,PUYO,-77956.0,-1.5057,956,2019,sep,22.1,9
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,sep,,9
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,sep,23.8,9
M0031,CAAR,-78.9452,-2.5522,3083,2019,sep,,9
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,sep,16.5,9
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,sep,24.8,9
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,sep,,9
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,sep,12.4,9
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,sep,,9
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,sep,,9
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,sep,16.5,9
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,oct,11.2,10
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,oct,15.7,10
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,oct,11.9,10
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,oct,14.0,10
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,oct,,10
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,oct,24.5,10
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,oct,,10
M0008,PUYO,-77956.0,-1.5057,956,2019,oct,21.6,10
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,oct,,10
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,oct,23.8,10
M0031,CAAR,-78.9452,-2.5522,3083,2019,oct,,10
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,oct,16.5,10
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,oct,25.1,10
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,oct,,10
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,oct,12.1,10
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,oct,,10
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,oct,,10
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,oct,15.1,10
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,nov,11.3,11
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,nov,16.2,11
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,nov,12.5,11
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,nov,15.1,11
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,nov,,11
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,nov,25.2,11
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,nov,,11
M0008,PUYO,-77956.0,-1.5057,956,2019,nov,,11
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,nov,,11
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,nov,24.0,11
M0031,CAAR,-78.9452,-2.5522,3083,2019,nov,,11
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,nov,17.2,11
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,nov,25.6,11
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,nov,,11
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,nov,13.2,11
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,nov,,11
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,nov,,11
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,nov,15.6,11
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,dic,11.5,12
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,dic,16.3,12
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,dic,12.8,12
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,dic,15.4,12
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,dic,,12
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,dic,,12
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,dic,,12
M0008,PUYO,-77956.0,-1.5057,956,2019,dic,,12
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,dic,,12
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,dic,24.4,12
M0031,CAAR,-78.9452,-2.5522,3083,2019,dic,,12
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,dic,17.2,12
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,dic,27.0,12
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,dic,,12
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,dic,13.1,12
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,dic,,12
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,dic,,12
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,dic,,12
