estacion,nombreestacion,longitud2,latitud2,altitud,anio,mes,precipitacion,mes_num
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,may,27.9,5
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,may,103.6,5
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,may,52.0,5
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,may,22.4,5
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,may,357.2,5
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,may,385.1,5
M0008,PUYO,-77956.0,-1.5057,956,2019,may,488.4,5
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,may,35.4,5
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,may,580.8,5
M0031,CAAR,-78.9452,-2.5522,3083,2019,may,,5
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,may,89.4,5
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,may,158.5,5
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,may,39.6,5
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,may,84.0,5
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,may,,5
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,may,,5
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,may,62.2,5
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,jun,45.2,6
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,jun,14.3,6
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,jun,62.5,6
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,jun,19.9,6
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,jun,5.9,6
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,jun,130.5,6
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,jun,,6
M0008,PUYO,-77956.0,-1.5057,956,2019,jun,418.3,6
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,jun,,6
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,jun,245.2,6
M0031,CAAR,-78.9452,-2.5522,3083,2019,jun,,6
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,jun,44.7,6
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,jun,3.0,6
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,jun,7.0,6
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,jun,55.3,6
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,jun,,6
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,jun,,6
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,jun,10.2,6
