provincia,total_vehiculos
GUAYAS,529908
PICHINCHA,521946
MANABI,198801
AZUAY,145729
LOS RIOS,121206
EL ORO,112297
TUNGURAHUA,101471
SANTO DOMINGO DE LOS TSACHILAS,80280
CHIMBORAZO,69578
COTOPAXI,67665
LOJA,63283
IMBABURA,51637
ESMERALDAS,45148
CANAR,39545
SANTA ELENA,28333
SUCUMBIOS,27927
BOLIVAR,23108
CARCHI,20322
ORELLANA,17044
MORONA SANTIAGO,13907
PASTAZA,10997
ZAMORA CHINCHIPE,10473
NAPO,8895
GALAPAGOS,2460
