provincia,canton,parroquia,poblacion,superficie_de_la_parroquia_km2_,densidad_poblacional
BOLIVAR,CHIMBO,LA MAGDALENA,2552.0,43.56,59.0
BOLIVAR,CHIMBO,SAN SEBASTIAN,1176.0,10.57,111.0
BOLIVAR,CHIMBO,TELIMBELA,3031.0,166.15,18.0
BOLIVAR,ECHEANDIA,ECHEANDIA,14654.0,244.93,60.0
BOLIVAR,SAN MIGUEL,SAN MIGUEL,14040.0,93.84,150.0
BOLIVAR,SAN MIGUEL,BALSAPAMBA,2470.0,113.98,22.0
BOLIVAR,SAN MIGUEL,BILOVAN,2966.0,139.01,21.0
BOLIVAR,SAN MIGUEL,REGULO DE MORA,1005.0,84.65,12.0
BOLIVAR,SAN MIGUEL,SAN PABLO,5180.0,76.12,68.0
BOLIVAR,SAN MIGUEL,SANTIAGO,1633.0,50.01,33.0
BOLIVAR,SAN MIGUEL,SAN VICENTE,1055.0,28.42,37.0
BOLIVAR,CALUMA,CALUMA,15607.0,175.55,89.0
BOLIVAR,LAS NAVES,LAS NAVES,7012.0,150.22,47.0
CANAR,AZOGUES,AZOGUES,41249.0,56.54,730.0
CANAR,AZOGUES,COJITAMBO,3612.0,19.06,190.0
CANAR,AZOGUES,GUAPAN,8921.0,77.61,115.0
CANAR,AZOGUES,JAVIER LOYOLA,8591.0,30.65,280.0
CANAR,AZOGUES,LUIS CORDERO,3931.0,24.3,162.0
CANAR,AZOGUES,PINDILIG,1837.0,115.68,16.0
CANAR,AZOGUES,RIVERA,1568.0,542.56,3.0
CANAR,AZOGUES,SAN MIGUEL,3615.0,26.77,135.0
CANAR,AZOGUES,TADAY,1191.0,60.84,20.0
CANAR,BIBLIAN,BIBLIAN,12379.0,60.17,206.0
CANAR,BIBLIAN,NAZON,2232.0,50.85,44.0
CANAR,BIBLIAN,SAN FRANCISCO DE SAGEO,1471.0,3.75,392.0
CANAR,BIBLIAN,TURUPAMBA,1078.0,6.54,165.0
CANAR,BIBLIAN,JERUSALEN,1692.0,60.86,28.0
CANAR,CANAR,CANAR,17305.0,76.11,227.0
CANAR,CANAR,CHONTAMARCA,3191.0,217.79,15.0
CANAR,CANAR,CHOROCOPTE,2726.0,34.25,80.0
CANAR,CANAR,GENERAL MORALES,2300.0,114.15,20.0
