no_,genero_de_la_victima,estado_civil_de_la_victima,condicion,fecha_de_muerte_victima,tipo_de_accidente,fecha_siniestro,canton,provincia,fecha_de_creacion_de_proteccion_de_fallecidos,anio,mes_num
4847,MASCULINO,CASADO/A,OCUPANTE,2019-11-22,CHOQUE,2019-11-22,GUAYAQUIL,GUAYAS,2020-01-31,2019,11
4848,MASCULINO,SOLTERO/A,PEATON,2019-12-14,ATROPELLO,2019-12-14,GUAYAQUIL,GUAYAS,2020-01-31,2019,12
4850,MASCULINO,DIVORCIADO/A,PEATON,2019-11-04,ATROPELLO,2019-11-03,CANAR,CANAR,2020-01-31,2019,11
4851,MASCULINO,CASADO/A,PEATON,2019-11-25,ATROPELLO,2019-11-03,CANAR,CANAR,2020-01-31,2019,11
4852,MASCULINO,SOLTERO/A,PEATON,2019-12-23,CAIDA,2019-12-23,COLTA,CHIMBORAZO,2020-01-31,2019,12
4856,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-20,CHOQUE,2019-12-20,MACHACHI,PICHINCHA,2020-01-30,2019,12
4857,MASCULINO,SOLTERO/A,PEATON,2019-07-31,ATROPELLO,2019-07-29,AMBATO,TUNGURAHUA,2020-01-30,2019,7
4859,FEMENINO,SOLTERO/A,BICICLETA,2019-12-31,ATROPELLO,2019-12-31,GUAYAQUIL,GUAYAS,2020-01-30,2019,12
4862,MASCULINO,SOLTERO/A,PEATON,2019-12-30,ATROPELLO,2019-12-30,YAGUACHI,GUAYAS,2020-01-30,2019,12
4864,MASCULINO,CASADO/A,PEATON,2019-10-18,ATROPELLO,2019-10-18,QUEVEDO,LOS RIOS,2020-01-29,2019,10
4865,MASCULINO,CASADO/A,OCUPANTE,2019-12-31,VOLCAMIENTO,2019-12-31,CUENCA,AZUAY,2020-01-29,2019,12
4868,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-23,CHOQUE,2019-12-23,ESMERALDAS,ESMERALDAS,2020-01-29,2019,12
4870,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-31,CHOQUE,2019-12-31,TENA,NAPO,2020-01-29,2019,12
4871,MASCULINO,CASADO/A,OCUPANTE,2019-12-16,CHOQUE,2019-12-15,LATACUNGA,COTOPAXI,2020-01-29,2019,12
4873,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-21,CHOQUE,2019-12-21,PEDRO VICENTE MALDONADO,PICHINCHA,2020-01-29,2019,12
4874,MASCULINO,CASADO/A,OCUPANTE,2019-10-15,CHOQUE,2019-10-15,CUENCA,AZUAY,2020-01-29,2019,10
4875,FEMENINO,SOLTERO/A,OCUPANTE,2019-12-14,CHOQUE,2019-12-14,LA LIBERTAD,SANTA ELENA,2020-01-29,2019,12
4876,FEMENINO,SOLTERO/A,OCUPANTE,2019-12-14,CHOQUE,2019-12-14,LA LIBERTAD,SANTA ELENA,2020-01-29,2019,12
4878,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-02,CHOQUE,2019-11-02,AMBATO,TUNGURAHUA,2020-01-29,2019,11
4879,MASCULINO,CASADO/A,PEATON,2019-09-29,ATROPELLO,2019-09-28,GUAYAQUIL,GUAYAS,2020-01-29,2019,9
4880,MASCULINO,SOLTERO/A,PEATON,2019-12-15,ATROPELLO,2019-12-15,GUAYAQUIL,GUAYAS,2020-01-29,2019,12
4882,MASCULINO,CASADO/A,OCUPANTE,2019-12-11,CHOQUE,2019-12-11,EL TRIUNFO,GUAYAS,2020-01-28,2019,12
4885,FEMENINO,SOLTERO/A,PEATON,2019-12-28,ATROPELLO,2019-12-27,GUAYAQUIL,GUAYAS,2020-01-28,2019,12
4886,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-19,CHOQUE,2019-12-19,PORTOVIEJO,MANABI,2020-01-28,2019,12
4887,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-28,VOLCAMIENTO,2019-11-28,YAGUACHI,GUAYAS,2020-01-28,2019,11
4888,FEMENINO,SOLTERO/A,BICICLETA,2019-11-19,CHOQUE,2019-11-19,LA LIBERTAD,SANTA ELENA,2020-01-28,2019,11
4889,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-18,CHOQUE,2019-11-18,JUJAN,GUAYAS,2020-01-28,2019,11
4890,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-18,CHOQUE,2019-11-18,JUJAN,GUAYAS,2020-01-28,2019,11
4891,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-18,CHOQUE,2019-11-18,JUJAN,GUAYAS,2020-01-28,2019,11
4895,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-11,CHOQUE,2019-11-15,PUERTO LOPEZ,MANABI,2020-01-28,2019,11
4896,MASCULINO,SOLTERO/A,PEATON,2019-12-26,ATROPELLO,2019-12-25,GUAYAQUIL,GUAYAS,2020-01-27,2019,12
4898,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-17,CAIDA,2019-11-16,GUAYAQUIL,GUAYAS,2020-01-27,2019,11
