no_,genero_de_la_victima,estado_civil_de_la_victima,condicion,fecha_de_muerte_victima,tipo_de_accidente,fecha_siniestro,canton,provincia,fecha_de_creacion_de_proteccion_de_fallecidos,anio,mes_num
5251,FEMENINO,SOLTERO/A,OCUPANTE,2019-07-28,CHOQUE,2019-07-28,MACHACHI,PICHINCHA,2019-12-18,2019,7
5252,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-01,CHOQUE,2019-11-01,MACHACHI,PICHINCHA,2019-12-18,2019,11
5253,MASCULINO,SOLTERO/A,PEATON,2019-11-03,ATROPELLO,2019-11-03,GUAYAQUIL,GUAYAS,2019-12-18,2019,11
5254,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-14,CHOQUE,2019-12-14,LA LIBERTAD,SANTA ELENA,2019-12-18,2019,12
5255,MASCULINO,CASADO/A,OCUPANTE,2019-11-09,CAIDA,2019-11-09,EL TRIUNFO,GUAYAS,2019-12-18,2019,11
5256,MASCULINO,SOLTERO/A,OCUPANTE,2019-08-27,CHOQUE,2019-08-26,LA LIBERTAD,SANTA ELENA,2019-12-18,2019,8
5257,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-31,CHOQUE,2019-10-31,ZAPOTILLO,LOJA,2019-12-18,2019,10
5258,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-31,CHOQUE,2019-10-31,ZAPOTILLO,LOJA,2019-12-18,2019,10
5259,FEMENINO,CASADO/A,OCUPANTE,2019-11-17,ATROPELLO,2019-11-17,BUENA FE,LOS RIOS,2019-12-18,2019,11
5260,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-17,ATROPELLO,2019-11-17,BUENA FE,LOS RIOS,2019-12-18,2019,11
5261,MASCULINO,SOLTERO/A,OCUPANTE,2019-08-28,CHOQUE,2019-08-26,ESMERALDAS,ESMERALDAS,2019-12-18,2019,8
5262,MASCULINO,SOLTERO/A,PEATON,2019-10-05,ATROPELLO,2019-10-05,PLAYAS,GUAYAS,2019-12-18,2019,10
5263,MASCULINO,CASADO/A,PEATON,2019-11-28,ATROPELLO,2019-11-28,RIOBAMBA,CHIMBORAZO,2019-12-18,2019,11
5264,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-17,ATROPELLO,2019-11-17,DAULE,GUAYAS,2019-12-18,2019,11
5265,FEMENINO,SOLTERO/A,PEATON,2019-11-07,ATROPELLO,2019-11-07,LATACUNGA,COTOPAXI,2019-12-18,2019,11
5266,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-23,ATROPELLO,2019-10-23,MACHALA,EL ORO,2019-12-18,2019,10
5267,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-24,CHOQUE,2019-11-24,GUAYAQUIL,GUAYAS,2019-12-18,2019,11
5268,MASCULINO,VIUDO/A,PEATON,2019-12-05,ATROPELLO,2019-12-05,QUITO,PICHINCHA,2019-12-17,2019,12
5269,MASCULINO,CASADO/A,OCUPANTE,2019-11-22,VOLCAMIENTO,2019-11-22,BOLIVAR,CARCHI,2019-12-17,2019,11
5270,MASCULINO,SOLTERO/A,PEATON,2019-09-08,ATROPELLO,2019-09-08,YAGUACHI,GUAYAS,2019-12-17,2019,9
5271,MASCULINO,CASADO/A,OCUPANTE,2019-08-15,CHOQUE,2019-08-16,TENA,NAPO,2019-12-17,2019,8
5272,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-04,CHOQUE,2019-11-04,EL GUABO,EL ORO,2019-12-17,2019,11
5273,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-02,VOLCAMIENTO,2019-10-02,SANTA ANA,MANABI,2019-12-17,2019,10
5274,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-30,VOLCAMIENTO,2019-11-30,QUEVEDO,LOS RIOS,2019-12-17,2019,11
5275,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-16,CHOQUE,2019-11-16,BABA,LOS RIOS,2019-12-17,2019,11
5276,MASCULINO,SOLTERO/A,PEATON,2019-11-16,ATROPELLO,2019-11-16,JIPIJAPA,MANABI,2019-12-17,2019,11
5277,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-17,CHOQUE,2019-10-18,MILAGRO,GUAYAS,2019-12-17,2019,10
5278,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-31,CHOQUE,2019-10-31,ZAPOTILLO,LOJA,2019-12-17,2019,10
5279,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-17,CHOQUE,2019-11-17,QUITO,PICHINCHA,2019-12-17,2019,11
5280,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-10,VOLCAMIENTO,2019-11-10,SANTA ANA,MANABI,2019-12-16,2019,11
5281,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-24,VOLCAMIENTO,2019-11-24,SIGCHOS,COTOPAXI,2019-12-16,2019,11
5282,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-27,CHOQUE,2019-10-25,BABAHOYO,LOS RIOS,2019-12-16,2019,10
5283,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-30,CHOQUE,2019-11-29,VENTANAS,LOS RIOS,2019-12-16,2019,11
5284,FEMENINO,VIUDO/A,PEATON,2019-10-25,ATROPELLO,2019-10-22,QUITO,PICHINCHA,2019-12-13,2019,10
5285,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-04,CHOQUE,2019-11-04,QUITO,PICHINCHA,2019-12-13,2019,11
5286,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-25,CHOQUE,2019-11-25,QUITO,PICHINCHA,2019-12-13,2019,11
5287,MASCULINO,CASADO/A,OCUPANTE,2019-06-17,CAIDA,2019-06-17,AMBATO,TUNGURAHUA,2019-12-13,2019,6
5288,MASCULINO,SOLTERO/A,PEATON,2019-11-17,ATROPELLO,2019-11-17,SANTA LUCIA,GUAYAS,2019-12-13,2019,11
5289,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-11,CHOQUE,2019-11-10,GUAYAQUIL,GUAYAS,2019-12-13,2019,11
5290,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-16,VOLCAMIENTO,2019-11-16,SAMBORONDON,GUAYAS,2019-12-13,2019,11
5292,MASCULINO,SOLTERO/A,PEATON,2019-11-25,ATROPELLO,2019-11-25,QUININDE,ESMERALDAS,2019-12-13,2019,11
5293,FEMENINO,SOLTERO/A,PEATON,2019-11-19,ATROPELLO,2019-11-19,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,2019-12-13,2019,11
5294,MASCULINO,CASADO/A,PEATON,2019-11-14,ATROPELLO,2019-11-13,GUAYAQUIL,GUAYAS,2019-12-13,2019,11
5295,FEMENINO,SOLTERO/A,OCUPANTE,2019-08-04,VOLCAMIENTO,2019-08-03,PUJILI,COTOPAXI,2019-12-13,2019,8
5296,FEMENINO,DIVORCIADO/A,OCUPANTE,2019-11-09,CHOQUE,2019-11-09,MILAGRO,GUAYAS,2019-12-12,2019,11
5297,MASCULINO,UNION DE HECHO,OCUPANTE,2019-11-23,CHOQUE,2019-11-22,NUEVA LOJA,SUCUMBIOS,2019-12-12,2019,11
5298,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-18,VOLCAMIENTO,2019-11-18,QUITO,PICHINCHA,2019-12-12,2019,11
5299,FEMENINO,SOLTERO/A,OCUPANTE,2019-08-04,VOLCAMIENTO,2019-08-03,PUJILI,COTOPAXI,2019-12-12,2019,8
5300,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-15,CHOQUE,2019-11-15,MACHACHI,PICHINCHA,2019-12-12,2019,11
5301,MASCULINO,CASADO/A,PEATON,2019-09-24,ATROPELLO,2019-09-24,MILAGRO,GUAYAS,2019-12-12,2019,9
5302,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-18,CHOQUE,2019-11-18,SANTA ROSA,EL ORO,2019-12-12,2019,11
5303,MASCULINO,CASADO/A,PEATON,2019-11-01,ATROPELLO,2019-11-01,GUAYAQUIL,GUAYAS,2019-12-12,2019,11
5304,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-30,CHOQUE,2019-10-30,PORTOVIEJO,MANABI,2019-12-12,2019,10
5305,MASCULINO,CASADO/A,PEATON,2019-11-25,ATROPELLO,2019-11-25,BABAHOYO,LOS RIOS,2019-12-12,2019,11
5306,MASCULINO,DIVORCIADO/A,OCUPANTE,2019-10-21,CHOQUE,2019-10-21,BALZAR,GUAYAS,2019-12-12,2019,10
5307,MASCULINO,SOLTERO/A,PEATON,2019-11-08,ATROPELLO,2019-10-06,FLAVIO ALFARO,MANABI,2019-12-12,2019,10
5308,MASCULINO,CASADO/A,OCUPANTE,2019-10-27,CHOQUE,2019-10-27,CHONE,MANABI,2019-12-12,2019,10
5309,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-01,CHOQUE,2019-12-01,OTAVALO,IMBABURA,2019-12-12,2019,12
5310,FEMENINO,CASADO/A,OCUPANTE,2019-09-08,VOLCAMIENTO,2019-09-08,LA MANA,COTOPAXI,2019-12-12,2019,9
5311,FEMENINO,VIUDO/A,PEATON,2019-11-07,ATROPELLO,2019-10-25,QUITO,PICHINCHA,2019-12-12,2019,10
5312,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-02,CHOQUE,2019-11-02,CAYAMBE,PICHINCHA,2019-12-11,2019,11
5313,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-02,ATROPELLO,2019-11-01,QUITO,PICHINCHA,2019-12-11,2019,11
5314,MASCULINO,CASADO/A,PEATON,2019-04-06,ATROPELLO,2019-04-06,GUAYAQUIL,GUAYAS,2019-12-11,2019,4
5315,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-14,CHOQUE,2019-06-30,BALZAR,GUAYAS,2019-12-11,2019,6
5317,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-24,CHOQUE,2019-11-24,NARANJAL,GUAYAS,2019-12-11,2019,11
5318,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-24,CHOQUE,2019-11-24,NARANJAL,GUAYAS,2019-12-11,2019,11
5319,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-24,CHOQUE,2019-10-22,BALZAR,GUAYAS,2019-12-11,2019,10
5320,MASCULINO,SOLTERO/A,OCUPANTE,2019-06-08,CHOQUE,2019-06-08,RIOBAMBA,CHIMBORAZO,2019-12-11,2019,6
5321,MASCULINO,CASADO/A,OCUPANTE,2019-11-29,CHOQUE,2019-11-29,SAMBORONDON,GUAYAS,2019-12-11,2019,11
5322,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-23,CHOQUE,2019-11-23,DAULE,GUAYAS,2019-12-11,2019,11
5323,MASCULINO,VIUDO/A,OCUPANTE,2019-01-17,CHOQUE,2019-01-17,AMBATO,TUNGURAHUA,2019-12-11,2019,1
5324,MASCULINO,DIVORCIADO/A,OCUPANTE,2019-11-18,CHOQUE,2019-11-18,MACHACHI,PICHINCHA,2019-12-11,2019,11
5325,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-29,CHOQUE,2019-11-29,DAULE,GUAYAS,2019-12-10,2019,11
5326,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-22,CHOQUE,2019-10-09,MILAGRO,GUAYAS,2019-12-10,2019,10
5327,MASCULINO,DIVORCIADO/A,OCUPANTE,2019-06-26,CHOQUE,2019-06-26,CUENCA,AZUAY,2019-12-10,2019,6
5328,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-09,CHOQUE,2019-11-09,VINCES,LOS RIOS,2019-12-10,2019,11
5329,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-19,CHOQUE,2019-10-19,VINCES,LOS RIOS,2019-12-10,2019,10
5330,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-19,CHOQUE,2019-11-18,CUENCA,AZUAY,2019-12-10,2019,11
5331,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-17,CHOQUE,2019-10-09,CUENCA,AZUAY,2019-12-10,2019,10
5332,MASCULINO,SOLTERO/A,PEATON,2019-07-31,ATROPELLO,2019-07-31,BOLIVAR,CARCHI,2019-12-10,2019,7
5333,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-11,CHOQUE,2019-11-11,MILAGRO,GUAYAS,2019-12-10,2019,11
5334,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-06,CHOQUE,2019-11-02,LORETO,ORELLANA,2019-12-10,2019,11
5335,MASCULINO,SOLTERO/A,OCUPANTE,2019-07-10,CHOQUE,2019-07-06,SAN LORENZO,ESMERALDAS,2019-12-10,2019,7
5336,MASCULINO,SOLTERO/A,PEATON,2019-10-17,ATROPELLO,2019-10-16,PALENQUE,LOS RIOS,2019-12-10,2019,10
5337,MASCULINO,VIUDO/A,PEATON,2019-10-16,ATROPELLO,2019-10-14,CUENCA,AZUAY,2019-12-10,2019,10
5338,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-10,VOLCAMIENTO,2019-11-10,PLAYAS,GUAYAS,2019-12-10,2019,11
5339,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-23,VOLCAMIENTO,2019-11-23,SAN MIGUEL,BOLIVAR,2019-12-10,2019,11
5340,MASCULINO,CASADO/A,PEATON,2019-06-29,ATROPELLO,2019-06-26,CUENCA,AZUAY,2019-12-10,2019,6
5341,MASCULINO,CASADO/A,OCUPANTE,2019-11-17,CHOQUE,2019-11-15,SANTA ANA,MANABI,2019-12-10,2019,11
5342,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-17,CHOQUE,2019-11-17,BABAHOYO,LOS RIOS,2019-12-10,2019,11
5343,FEMENINO,CASADO/A,PEATON,2019-11-10,ATROPELLO,2019-11-10,CUENCA,AZUAY,2019-12-10,2019,11
5344,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-30,VOLCAMIENTO,2019-10-30,ZAMORA,ZAMORA CHINCHIPE,2019-12-10,2019,10
5345,FEMENINO,CASADO/A,PEATON,2019-11-02,ATROPELLO,2019-11-02,CUENCA,AZUAY,2019-12-10,2019,11
5346,MASCULINO,CASADO/A,OCUPANTE,2019-10-19,CHOQUE,2019-10-19,EL CARMEN,MANABI,2019-12-10,2019,10
5347,MASCULINO,SOLTERO/A,PEATON,2019-10-23,ATROPELLO,2019-10-23,SANTA ISABEL,AZUAY,2019-12-10,2019,10
5348,MASCULINO,SOLTERO/A,PEATON,2019-11-29,ATROPELLO,2019-11-29,PUYO,PASTAZA,2019-12-10,2019,11
5349,MASCULINO,SOLTERO/A,OCUPANTE,2019-08-18,VOLCAMIENTO,2019-08-18,VINCES,LOS RIOS,2019-12-10,2019,8
5350,MASCULINO,SOLTERO/A,PEATON,2019-11-23,ATROPELLO,2019-11-23,CUENCA,AZUAY,2019-12-10,2019,11
5351,FEMENINO,SOLTERO/A,PEATON,2019-11-16,ATROPELLO,2019-11-16,GUALACEO,AZUAY,2019-12-10,2019,11
5352,MASCULINO,CASADO/A,PEATON,2019-11-13,ATROPELLO,2019-11-13,LATACUNGA,COTOPAXI,2019-12-10,2019,11
5353,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-23,CHOQUE,2019-11-23,CUENCA,AZUAY,2019-12-10,2019,11
5354,FEMENINO,SOLTERO/A,OCUPANTE,2019-07-08,CHOQUE,2019-07-08,EL GUABO,EL ORO,2019-12-10,2019,7
5355,MASCULINO,SOLTERO/A,OCUPANTE,2019-07-08,CHOQUE,2019-07-08,EL GUABO,EL ORO,2019-12-10,2019,7
5356,MASCULINO,SOLTERO/A,PEATON,2019-11-07,ATROPELLO,2019-11-06,BABAHOYO,LOS RIOS,2019-12-10,2019,11
5357,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-09,CHOQUE,2019-09-09,LA LIBERTAD,SANTA ELENA,2019-12-10,2019,9
5358,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-04,CHOQUE,2019-11-03,SANTA ELENA,SANTA ELENA,2019-12-10,2019,11
5359,MASCULINO,CASADO/A,OCUPANTE,2019-11-20,CHOQUE,2019-11-20,CAYAMBE,PICHINCHA,2019-12-09,2019,11
5360,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-17,CHOQUE,2019-11-17,AZOGUES,CANAR,2019-12-09,2019,11
5361,MASCULINO,SOLTERO/A,OCUPANTE,2019-08-11,CHOQUE,2019-08-11,MILAGRO,GUAYAS,2019-12-09,2019,8
5362,FEMENINO,SOLTERO/A,PEATON,2019-11-21,ATROPELLO,2019-11-21,MACHALA,EL ORO,2019-12-09,2019,11
5363,MASCULINO,CASADO/A,OCUPANTE,2019-11-17,CHOQUE,2019-11-17,GUAYAQUIL,GUAYAS,2019-12-09,2019,11
5364,FEMENINO,CASADO/A,PEATON,2019-09-11,ATROPELLO,2019-09-11,ALAUSI,CHIMBORAZO,2019-12-09,2019,9
5365,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-01,CHOQUE,2019-11-01,VINCES,LOS RIOS,2019-12-09,2019,11
5366,MASCULINO,SOLTERO/A,PEATON,2019-11-10,ATROPELLO,2019-11-10,PEDERNALES,MANABI,2019-12-09,2019,11
5367,MASCULINO,SOLTERO/A,OCUPANTE,2019-08-09,ATROPELLO,2019-11-10,PEDERNALES,MANABI,2019-12-09,2019,11
5368,FEMENINO,CASADO/A,PEATON,2019-10-17,CHOQUE,2019-10-14,CAYAMBE,PICHINCHA,2019-12-09,2019,10
5369,MASCULINO,SOLTERO/A,PEATON,2019-10-23,ATROPELLO,2019-10-20,BABAHOYO,LOS RIOS,2019-12-09,2019,10
5370,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-03,VOLCAMIENTO,2019-12-03,SALITRE,GUAYAS,2019-12-09,2019,12
5371,FEMENINO,DIVORCIADO/A,OCUPANTE,2019-11-02,CHOQUE,2019-11-02,QUITO,PICHINCHA,2019-12-09,2019,11
5372,MASCULINO,SOLTERO/A,PEATON,2019-10-21,ATROPELLO,2019-10-21,SHUSHUFINDI,SUCUMBIOS,2019-12-09,2019,10
5373,MASCULINO,SOLTERO/A,PEATON,2019-10-31,ATROPELLO,2019-10-31,LA TRONCAL,CANAR,2019-12-06,2019,10
5374,MASCULINO,CASADO/A,OCUPANTE,2019-10-28,CHOQUE,2019-10-29,GUAYAQUIL,GUAYAS,2019-12-06,2019,10
5375,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-18,CHOQUE,2019-01-05,QUITO,PICHINCHA,2019-12-05,2019,1
5376,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-13,CHOQUE,2019-10-13,DAULE,GUAYAS,2019-12-05,2019,10
5377,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-16,CHOQUE,2019-09-21,MANTA,MANABI,2019-12-05,2019,9
5378,MASCULINO,CASADO/A,PEATON,2019-11-22,ATROPELLO,2019-11-22,QUITO,PICHINCHA,2019-12-05,2019,11
5379,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-31,CHOQUE,2019-10-31,PORTOVIEJO,MANABI,2019-12-05,2019,10
5380,MASCULINO,SOLTERO/A,PEATON,2019-11-19,ATROPELLO,2019-11-19,PORTOVIEJO,MANABI,2019-12-05,2019,11
5381,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-18,CHOQUE,2019-11-18,SUCRE,MANABI,2019-12-05,2019,11
5382,MASCULINO,SOLTERO/A,BICICLETA,2019-11-27,CHOQUE,2019-11-27,DAULE,GUAYAS,2019-12-04,2019,11
5383,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-10,CHOQUE,2019-11-10,NARANJAL,GUAYAS,2019-12-04,2019,11
5384,MASCULINO,CASADO/A,OCUPANTE,2019-11-10,VOLCAMIENTO,2019-11-10,QUITO,PICHINCHA,2019-12-04,2019,11
5385,MASCULINO,SOLTERO/A,OCUPANTE,2019-08-04,VOLCAMIENTO,2019-11-13,RIOBAMBA,CHIMBORAZO,2019-12-04,2019,11
5386,FEMENINO,DIVORCIADO/A,OCUPANTE,2019-11-15,VOLCAMIENTO,2019-11-13,RIOBAMBA,CHIMBORAZO,2019-12-04,2019,11
5387,MASCULINO,CASADO/A,OCUPANTE,2019-11-10,CHOQUE,2019-11-01,SALINAS,SANTA ELENA,2019-12-04,2019,11
5388,MASCULINO,SOLTERO/A,OCUPANTE,2019-07-20,VOLCAMIENTO,2019-07-20,GUAYZIMI,ZAMORA CHINCHIPE,2019-12-04,2019,7
5389,MASCULINO,CASADO/A,OCUPANTE,2019-11-17,CHOQUE,2019-11-16,LOJA,LOJA,2019-12-04,2019,11
5390,FEMENINO,CASADO/A,PEATON,2019-11-17,ATROPELLO,2019-11-17,COLTA,CHIMBORAZO,2019-12-04,2019,11
5391,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-18,VOLCAMIENTO,2019-11-18,AMBATO,TUNGURAHUA,2019-12-04,2019,11
5392,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-21,CHOQUE,2019-11-21,CAYAMBE,PICHINCHA,2019-12-04,2019,11
5393,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-25,VOLCAMIENTO,2019-09-22,JIPIJAPA,MANABI,2019-12-03,2019,9
5395,MASCULINO,CASADO/A,OCUPANTE,2019-09-22,VOLCAMIENTO,2019-09-22,JIPIJAPA,MANABI,2019-12-03,2019,9
5396,FEMENINO,SOLTERO/A,PEATON,2019-11-06,ATROPELLO,2019-11-02,DURAN,GUAYAS,2019-12-03,2019,11
5397,FEMENINO,CASADO/A,PEATON,2019-09-24,ATROPELLO,2019-09-24,MACHACHI,PICHINCHA,2019-12-03,2019,9
5398,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-02,VOLCAMIENTO,2019-11-02,MANTA,MANABI,2019-12-03,2019,11
5399,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-28,CHOQUE,2019-09-28,MARCABELI,EL ORO,2019-12-03,2019,9
5400,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-02,VOLCAMIENTO,2019-11-02,MANTA,MANABI,2019-12-03,2019,11
5401,MASCULINO,CASADO/A,OCUPANTE,2019-10-25,CHOQUE,2019-08-24,EL CARMEN,MANABI,2019-12-03,2019,8
5402,FEMENINO,CASADO/A,OCUPANTE,2019-10-27,CHOQUE,2019-10-27,SANTA ELENA,SANTA ELENA,2019-12-03,2019,10
5403,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-20,CHOQUE,2019-09-20,QUITO,PICHINCHA,2019-12-02,2019,9
5404,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-20,VOLCAMIENTO,2019-11-20,CUENCA,AZUAY,2019-12-02,2019,11
5405,MASCULINO,CASADO/A,PEATON,2019-09-17,ATROPELLO,2019-08-08,LATACUNGA,COTOPAXI,2019-12-02,2019,8
5406,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-31,VOLCAMIENTO,2019-10-30,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,2019-12-02,2019,10
5407,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-04,CHOQUE,2019-10-04,PORTOVIEJO,MANABI,2019-12-02,2019,10
5408,MASCULINO,CASADO/A,OCUPANTE,2019-11-06,CHOQUE,2019-11-06,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,2019-12-02,2019,11
5409,MASCULINO,CASADO/A,OCUPANTE,2019-09-12,VOLCAMIENTO,2019-09-12,QUITO,PICHINCHA,2019-12-02,2019,9
5410,FEMENINO,SOLTERO/A,OCUPANTE,2019-06-23,VOLCAMIENTO,2019-06-23,URCUQUI,IMBABURA,2019-12-02,2019,6
5411,MASCULINO,SOLTERO/A,PEATON,2019-11-06,ATROPELLO,2019-11-06,GUAYAQUIL,GUAYAS,2019-12-02,2019,11
5412,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-20,CHOQUE,2019-10-20,PEDRO VICENTE MALDONADO,PICHINCHA,2019-12-02,2019,10
5413,MASCULINO,CASADO/A,PEATON,2019-09-26,ATROPELLO,2019-09-25,CAYAMBE,PICHINCHA,2019-12-02,2019,9
5414,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-29,CHOQUE,2019-09-29,NUEVA LOJA,SUCUMBIOS,2019-12-02,2019,9
5415,MASCULINO,CASADO/A,OCUPANTE,2019-09-22,CHOQUE,2019-09-22,MACHACHI,PICHINCHA,2019-12-02,2019,9
5416,MASCULINO,CASADO/A,OCUPANTE,2019-09-01,CHOQUE,2019-09-01,QUITO,PICHINCHA,2019-12-02,2019,9
5417,MASCULINO,SOLTERO/A,OCUPANTE,2019-05-25,CHOQUE,2019-04-04,DURAN,GUAYAS,2019-11-29,2019,4
5418,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-29,CHOQUE,2019-09-29,EL GUABO,EL ORO,2019-11-29,2019,9
5419,MASCULINO,SOLTERO/A,PEATON,2019-10-12,ATROPELLO,2019-10-12,MACHALA,EL ORO,2019-11-29,2019,10
5420,MASCULINO,CASADO/A,OCUPANTE,2019-10-08,VOLCAMIENTO,2019-10-08,CUENCA,AZUAY,2019-11-29,2019,10
5421,MASCULINO,CASADO/A,OCUPANTE,2019-11-06,CHOQUE,2019-10-30,BABAHOYO,LOS RIOS,2019-11-29,2019,10
5422,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-16,CHOQUE,2019-11-16,BUENA FE,LOS RIOS,2019-11-29,2019,11
5423,MASCULINO,CASADO/A,OCUPANTE,2019-09-27,CHOQUE,2019-09-26,GUALACEO,AZUAY,2019-11-29,2019,9
5424,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-21,CHOQUE,2019-10-21,LA TRONCAL,CANAR,2019-11-29,2019,10
5425,MASCULINO,CASADO/A,OCUPANTE,2019-10-15,CHOQUE,2019-10-15,DAULE,GUAYAS,2019-11-29,2019,10
5426,MASCULINO,SOLTERO/A,PEATON,2019-11-09,ATROPELLO,2019-11-09,EL EMPALME,GUAYAS,2019-11-29,2019,11
5427,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-24,VOLCAMIENTO,2019-10-24,EL CORAZON,COTOPAXI,2019-11-29,2019,10
5428,MASCULINO,SOLTERO/A,OCUPANTE,2019-01-13,CHOQUE,2019-01-13,VENTANAS,LOS RIOS,2019-11-29,2019,1
5429,MASCULINO,SOLTERO/A,PEATON,2019-10-16,ATROPELLO,2019-10-16,MACHALA,EL ORO,2019-11-29,2019,10
5430,MASCULINO,CASADO/A,OCUPANTE,2019-11-08,CHOQUE,2019-11-08,GUAYAQUIL,GUAYAS,2019-11-29,2019,11
5431,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-31,CHOQUE,2019-10-31,RIOBAMBA,CHIMBORAZO,2019-11-29,2019,10
5432,MASCULINO,CASADO/A,OCUPANTE,2019-11-14,CHOQUE,2019-11-14,VINCES,LOS RIOS,2019-11-29,2019,11
5433,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-25,VOLCAMIENTO,2019-10-25,GUAYAQUIL,GUAYAS,2019-11-29,2019,10
5434,MASCULINO,CASADO/A,OCUPANTE,2019-11-01,VOLCAMIENTO,2019-11-01,GUAYAQUIL,GUAYAS,2019-11-29,2019,11
5435,MASCULINO,SOLTERO/A,PEATON,2019-09-11,ATROPELLO,2019-09-11,QUITO,PICHINCHA,2019-11-29,2019,9
5436,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-18,CHOQUE,2019-10-18,QUITO,PICHINCHA,2019-11-29,2019,10
5437,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-01,CHOQUE,2019-08-09,VENTANAS,LOS RIOS,2019-11-28,2019,8
5438,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-20,CHOQUE,2019-10-20,QUEVEDO,LOS RIOS,2019-11-28,2019,10
5439,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-21,CHOQUE,2019-10-20,BUENA FE,LOS RIOS,2019-11-28,2019,10
